ID,answer
TEST_00169,white
TEST_00170,white
TEST_00171,2
TEST_00172,yes
TEST_00173,yes
TEST_00174,yes
TEST_00175,white
TEST_00176,white
TEST_00177,right
TEST_00178,2
TEST_00179,white
TEST_00180,white
TEST_00181,man
TEST_00182,white
TEST_00183,2
TEST_00184,white
TEST_00185,yes
TEST_00186,yes
TEST_00187,yes
TEST_00188,white
TEST_00189,white
TEST_00190,on
TEST_00191,yes
TEST_00192,white
TEST_00193,white:45
TEST_00194,yes
TEST_00195,yes
TEST_00196,yes
TEST_00197,2
TEST_00198,white
TEST_00199,white
TEST_00200,yes
TEST_00201,yes
TEST_00202,white
TEST_00203,on
TEST_00204,yes
TEST_00205,yes
TEST_00206,no
TEST_00207,2
TEST_00208,yes
TEST_00209,yes
TEST_00210,white
TEST_00211,yes
TEST_00212,white
TEST_00213,2
TEST_00214,yes
TEST_00215,yes
TEST_00216,white
TEST_00217,yes
TEST_00218,white
TEST_00219,yes
TEST_00220,yes
TEST_00221,white
TEST_00222,yes
TEST_00223,yes
TEST_00224,white
TEST_00225,yes
TEST_00226,yes
TEST_00227,white
TEST_00228,yes
TEST_00229,yes
TEST_00230,yes
TEST_00231,yes
TEST_00232,on
TEST_00233,yes
TEST_00234,yes
TEST_00235,white
TEST_00236,white
TEST_00237,yes
TEST_00238,white
TEST_00239,white
TEST_00240,2
TEST_00241,2
TEST_00242,yes
TEST_00243,yes
TEST_00244,yes
TEST_00245,yes
TEST_00246,2
TEST_00247,yes
TEST_00248,white
TEST_00249,yes
TEST_00250,white
TEST_00251,yes
TEST_00252,white
TEST_00253,yes
TEST_00254,white
TEST_00255,2
TEST_00256,whiteccoli
TEST_00257,yes
TEST_00258,yes
TEST_00259,yes
TEST_00260,white
TEST_00261,2
TEST_00262,yes
TEST_00263,yes
TEST_00264,2
TEST_00265,yes
TEST_00266,yes
TEST_00267,yes
TEST_00268,2
TEST_00269,whiteii
TEST_00270,yes
TEST_00271,2
TEST_00272,yes
TEST_00273,yes
TEST_00274,yes
TEST_00275,white
TEST_00276,white
TEST_00277,yes
TEST_00278,yes
TEST_00279,white
TEST_00280,on
TEST_00281,yes
TEST_00282,overcast
TEST_00283,white
TEST_00284,2
TEST_00285,white
TEST_00286,yes
TEST_00287,on
TEST_00288,white
TEST_00289,white
TEST_00290,white
TEST_00291,2
TEST_00292,2
TEST_00293,yes
TEST_00294,white
TEST_00295,yes
TEST_00296,white
TEST_00297,yes
TEST_00298,white
TEST_00299,yes
TEST_00300,white
TEST_00301,yes
TEST_00302,yes
TEST_00303,yes
TEST_00304,2
TEST_00305,white
TEST_00306,yes
TEST_00307,whiteffee
TEST_00308,whitechen
TEST_00309,white/
TEST_00310,white
TEST_00311,yes
TEST_00312,white
TEST_00313,2
TEST_00314,white
TEST_00315,white
TEST_00316,yes
TEST_00317,yes
TEST_00318,2
TEST_00319,yes
TEST_00320,yes
TEST_00321,whiteii
TEST_00322,white
TEST_00323,white
TEST_00324,white
TEST_00325,yes
TEST_00326,on
TEST_00327,2
TEST_00328,yes
TEST_00329,yes
TEST_00330,white
TEST_00331,on
TEST_00332,whiteph
TEST_00333,no
TEST_00334,2
TEST_00335,yes
TEST_00336,yes
TEST_00337,white
TEST_00338,white
TEST_00339,yes
TEST_00340,yes
TEST_00341,yes
TEST_00342,white
TEST_00343,yes
TEST_00344,yes
TEST_00345,white
TEST_00346,yes
TEST_00347,2
TEST_00348,yes
TEST_00349,white
TEST_00350,white
TEST_00351,yes
TEST_00352,yes
TEST_00353,yes
TEST_00354,yes
TEST_00355,yes
TEST_00356,on
TEST_00357,yes
TEST_00358,2
TEST_00359,white
TEST_00360,white
TEST_00361,2
TEST_00362,yes
TEST_00363,man
TEST_00364,white y
TEST_00365,yes
TEST_00366,yes
TEST_00367,white
TEST_00368,yes
TEST_00369,on
TEST_00370,yes
TEST_00371,white
TEST_00372,yes
TEST_00373,yes
TEST_00374,yes
TEST_00375,yes
TEST_00376,yes
TEST_00377,white
TEST_00378,on
TEST_00379,2
TEST_00380,white
TEST_00381,man
TEST_00382,white
TEST_00383,white
TEST_00384,yes
TEST_00385,whiteccoli
TEST_00386,yes
TEST_00387,whitenis
TEST_00388,white
TEST_00389,yes
TEST_00390,white
TEST_00391,yes
TEST_00392,2
TEST_00393,yes
TEST_00394,yes
TEST_00395,yes
TEST_00396,2
TEST_00397,yes
TEST_00398,white
TEST_00399,white
TEST_00400,white
TEST_00401,white
TEST_00402,on
TEST_00403,yes
TEST_00404,white
TEST_00405,white
TEST_00406,yes
TEST_00407,yes
TEST_00408,yes
TEST_00409,2
TEST_00410,man
TEST_00411,white
TEST_00412,yes
TEST_00413,yes
TEST_00414,2
TEST_00415,white
TEST_00416,yes
TEST_00417,white
TEST_00418,2
TEST_00419,yes
TEST_00420,white
TEST_00421,yes
TEST_00422,yes
TEST_00423,left
TEST_00424,2
TEST_00425,whitenis
TEST_00426,white
TEST_00427,white
TEST_00428,yes
TEST_00429,yes
TEST_00430,white
TEST_00431,white
TEST_00432,yes
TEST_00433,2
TEST_00434,yes
TEST_00435,white
TEST_00436,white
TEST_00437,yes
TEST_00438,yes
TEST_00439,yes
TEST_00440,whitechen
TEST_00441,yes
TEST_00442,to
TEST_00443,white
TEST_00444,whiteii
TEST_00445,yes
TEST_00446,man
TEST_00447,yes
TEST_00448,2
TEST_00449,white
TEST_00450,white
TEST_00451,2
TEST_00452,yes
TEST_00453,white
TEST_00454,man
TEST_00455,white:45
TEST_00456,yes
TEST_00457,yes
TEST_00458,yes
TEST_00459,white
TEST_00460,white
TEST_00461,white
TEST_00462,2
TEST_00463,yes
TEST_00464,yes
TEST_00465,yes
TEST_00466,yes
TEST_00467,yes
TEST_00468,white
TEST_00469,white
TEST_00470,whitenis
TEST_00471,2
TEST_00472,white
TEST_00473,white
TEST_00474,white
TEST_00475,yes
TEST_00476,yes
TEST_00477,yes
TEST_00478,whiteaid
TEST_00479,white
TEST_00480,yes
TEST_00481,white
TEST_00482,2
TEST_00483,white
TEST_00484,leftball
TEST_00485,white
TEST_00486,2
TEST_00487,yes
TEST_00488,on
TEST_00489,on
TEST_00490,yes
TEST_00491,white
TEST_00492,yes
TEST_00493,white:45
TEST_00494,yes
TEST_00495,on
TEST_00496,yes
TEST_00497,white
TEST_00498,yes
TEST_00499,white
TEST_00500,yes
TEST_00501,white
TEST_00502,white
TEST_00503,yes
TEST_00504,left
TEST_00505,2
TEST_00506,whiteroc
TEST_00507,white
TEST_00508,2
TEST_00509,2
TEST_00510,yes
TEST_00511,yes
TEST_00512,white
TEST_00513,yes
TEST_00514,white
TEST_00515,yes
TEST_00516,white
TEST_00517,whiteican
TEST_00518,white
TEST_00519,white
TEST_00520,2
TEST_00521,to
TEST_00522,yes
TEST_00523,yes
TEST_00524,white
TEST_00525,white
TEST_00526,yes
TEST_00527,yes
TEST_00528,2
TEST_00529,man
TEST_00530,white
TEST_00531,white
TEST_00532,white
TEST_00533,yes
TEST_00534,yes
TEST_00535,white
TEST_00536,yes
TEST_00537,no
TEST_00538,white
TEST_00539,yes
TEST_00540,white
TEST_00541,white
TEST_00542,white
TEST_00543,yes
TEST_00544,yes
TEST_00545,2
TEST_00546,white
TEST_00547,2
TEST_00548,white
TEST_00549,yes
TEST_00550,2
TEST_00551,yes
TEST_00552,yes
TEST_00553,on
TEST_00554,yes
TEST_00555,yes
TEST_00556,yes
TEST_00557,white
TEST_00558,white
TEST_00559,yes
TEST_00560,white
TEST_00561,white
TEST_00562,white
TEST_00563,yes
TEST_00564,2
TEST_00565,white
TEST_00566,white
TEST_00567,yes
TEST_00568,white
TEST_00569,whiteanas
TEST_00570,man
TEST_00571,yes
TEST_00572,yes
TEST_00573,to
TEST_00574,white
TEST_00575,white
TEST_00576,2
TEST_00577,yes
TEST_00578,white
TEST_00579,white
TEST_00580,yes
TEST_00581,yes
TEST_00582,2
TEST_00583,yes
TEST_00584,yes
TEST_00585,white
TEST_00586,2
TEST_00587,white
TEST_00588,yes
TEST_00589,white
TEST_00590,white
TEST_00591,white
TEST_00592,left
TEST_00593,white
TEST_00594,yes
TEST_00595,yes
TEST_00596,yes
TEST_00597,white
TEST_00598,yes
TEST_00599,white
TEST_00600,white
TEST_00601,yes
TEST_00602,on
TEST_00603,white
TEST_00604,on
TEST_00605,white
TEST_00606,white
TEST_00607,white
TEST_00608,white
TEST_00609,yes
TEST_00610,white:
TEST_00611,2
TEST_00612,left
TEST_00613,yes
TEST_00614,yes
TEST_00615,yes
TEST_00616,yes
TEST_00617,white
TEST_00618,on
TEST_00619,white
TEST_00620,white
TEST_00621,yes
TEST_00622,yes
TEST_00623,yes
TEST_00624,white
TEST_00625,yes
TEST_00626,yes
TEST_00627,yes
TEST_00628,white
TEST_00629,white
TEST_00630,yes
TEST_00631,yes
TEST_00632,no
TEST_00633,white
TEST_00634,white
TEST_00635,white
TEST_00636,on
TEST_00637,white
TEST_00638,white
TEST_00639,to
TEST_00640,white
TEST_00641,no
TEST_00642,yes
TEST_00643,yes
TEST_00644,white
TEST_00645,yes
TEST_00646,white
TEST_00647,2
TEST_00648,yes
TEST_00649,white
TEST_00650,yes
TEST_00651,yes
TEST_00652,white
TEST_00653,white
TEST_00654,white
TEST_00655,yes
TEST_00656,yes
TEST_00657,white
TEST_00658,yes
TEST_00659,yes
TEST_00660,yes
TEST_00661,yes
TEST_00662,white
TEST_00663,yes
TEST_00664,white
TEST_00665,white
TEST_00666,yes
TEST_00667,yes
TEST_00668,yes
TEST_00669,left
TEST_00670,white
TEST_00671,white
TEST_00672,yes
TEST_00673,yes
TEST_00674,whiteizza
TEST_00675,white
TEST_00676,2
TEST_00677,white
TEST_00678,white
TEST_00679,white
TEST_00680,white
TEST_00681,2
TEST_00682,yes
TEST_00683,yes
TEST_00684,red
TEST_00685,2
TEST_00686,white
TEST_00687,white
TEST_00688,whitechen
TEST_00689,yes
TEST_00690,on
TEST_00691,yes
TEST_00692,2 very
TEST_00693,yes
TEST_00694,2
TEST_00695,white
TEST_00696,yes
TEST_00697,white
TEST_00698,white
TEST_00699,white
TEST_00700,yes
TEST_00701,yes
TEST_00702,on
TEST_00703,white
TEST_00704,yes
TEST_00705,yes
TEST_00706,white
TEST_00707,yes
TEST_00708,yes
TEST_00709,yes
TEST_00710,yes
TEST_00711,yes
TEST_00712,yes
TEST_00713,yes
TEST_00714,yes
TEST_00715,white
TEST_00716,2
TEST_00717,yes
TEST_00718,white
TEST_00719,white
TEST_00720,whitechen
TEST_00721,white
TEST_00722,yes
TEST_00723,yes
TEST_00724,2
TEST_00725,white
TEST_00726,white
TEST_00727,yes
TEST_00728,yes
TEST_00729,on
TEST_00730,yes
TEST_00731,whiteii
TEST_00732,2
TEST_00733,yes
TEST_00734,yes
TEST_00735,2
TEST_00736,left
TEST_00737,2
TEST_00738,yes
TEST_00739,no
TEST_00740,yes
TEST_00741,yes
TEST_00742,left
TEST_00743,white
TEST_00744,whitechen
TEST_00745,yes
TEST_00746,white
TEST_00747,white
TEST_00748,white
TEST_00749,yes
TEST_00750,yes
TEST_00751,white
TEST_00752,white
TEST_00753,yes
TEST_00754,white
TEST_00755,2
TEST_00756,on
TEST_00757,2
TEST_00758,yes
TEST_00759,yes
TEST_00760,yes
TEST_00761,yes
TEST_00762,white
TEST_00763,whitenis
TEST_00764,yes
TEST_00765,whitenis
TEST_00766,white and white
TEST_00767,2
TEST_00768,yes
TEST_00769,yes
TEST_00770,yes
TEST_00771,yes
TEST_00772,yes
TEST_00773,yes
TEST_00774,yes
TEST_00775,white
TEST_00776,yes
TEST_00777,white
TEST_00778,yes
TEST_00779,yes
TEST_00780,yes
TEST_00781,yes
TEST_00782,whiteelta
TEST_00783,white
TEST_00784,white
TEST_00785,yes
TEST_00786,white
TEST_00787,white
TEST_00788,man
TEST_00789,white
TEST_00790,yes
TEST_00791,white
TEST_00792,white
TEST_00793,white
TEST_00794,yes
TEST_00795,yes
TEST_00796,white
TEST_00797,white
TEST_00798,white
TEST_00799,yes
TEST_00800,2
TEST_00801,yes
TEST_00802,yes
TEST_00803,white
TEST_00804,left
TEST_00805,yes
TEST_00806,yes
TEST_00807,white
TEST_00808,white
TEST_00809,white
TEST_00810,yes
TEST_00811,2
TEST_00812,on
TEST_00813,white
TEST_00814,white
TEST_00815,white
TEST_00816,white
TEST_00817,yes
TEST_00818,recent//
TEST_00819,white
TEST_00820,white
TEST_00821,yes
TEST_00822,yes
TEST_00823,2
TEST_00824,white
TEST_00825,yes
TEST_00826,yes
TEST_00827,white
TEST_00828,white
TEST_00829,white
TEST_00830,white
TEST_00831,yes
TEST_00832,white
TEST_00833,man
TEST_00834,whiteese
TEST_00835,yes
TEST_00836,yes
TEST_00837,2
TEST_00838,yes
TEST_00839,yes
TEST_00840,yes
TEST_00841,white
TEST_00842,yes
TEST_00843,white
TEST_00844,yes
TEST_00845,yes
TEST_00846,white
TEST_00847,yes
TEST_00848,yes
TEST_00849,yes
TEST_00850,yes
TEST_00851,2
TEST_00852,yes
TEST_00853,white
TEST_00854,white
TEST_00855,yes
TEST_00856,yes
TEST_00857,2
TEST_00858,yes
TEST_00859,yes
TEST_00860,yes
TEST_00861,yes
TEST_00862,yes
TEST_00863,yes
TEST_00864,yes
TEST_00865,whitenis
TEST_00866,yes
TEST_00867,yes
TEST_00868,white
TEST_00869,right
TEST_00870,2 inches
TEST_00871,to
TEST_00872,yes
TEST_00873,white
TEST_00874,white
TEST_00875,yes
TEST_00876,man
TEST_00877,yes
TEST_00878,yes
TEST_00879,white
TEST_00880,yes
TEST_00881,on
TEST_00882,white
TEST_00883,white
TEST_00884,white
TEST_00885,white
TEST_00886,2
TEST_00887,white
TEST_00888,yes
TEST_00889,yes
TEST_00890,white
TEST_00891,white
TEST_00892,2
TEST_00893,yes
TEST_00894,white
TEST_00895,2
TEST_00896,yes
TEST_00897,yes
TEST_00898,yes
TEST_00899,yes
TEST_00900,white
TEST_00901,yes
TEST_00902,yes
TEST_00903,yes
TEST_00904,yes
TEST_00905,2
TEST_00906,whiteony
TEST_00907,yes
TEST_00908,white
TEST_00909,left
TEST_00910,yes
TEST_00911,white
TEST_00912,white
TEST_00913,2
TEST_00914,yes
TEST_00915,white
TEST_00916,yes
TEST_00917,white
TEST_00918,white
TEST_00919,2
TEST_00920,on
TEST_00921,white
TEST_00922,white
TEST_00923,white
TEST_00924,2
TEST_00925,white
TEST_00926,yes
TEST_00927,yes
TEST_00928,white
TEST_00929,white
TEST_00930,2
TEST_00931,white
TEST_00932,yes
TEST_00933,no
TEST_00934,white
TEST_00935,white
TEST_00936,right
TEST_00937,white
TEST_00938,2
TEST_00939,white
TEST_00940,yes
TEST_00941,man
TEST_00942,white
TEST_00943,white
TEST_00944,yes
TEST_00945,yes
TEST_00946,yes
TEST_00947,white
TEST_00948,yes
TEST_00949,white
TEST_00950,2
TEST_00951,yes
TEST_00952,yes
TEST_00953,yes
TEST_00954,yes
TEST_00955,white
TEST_00956,2
TEST_00957,white
TEST_00958,white
TEST_00959,2
TEST_00960,white
TEST_00961,yes
TEST_00962,white
TEST_00963,white
TEST_00964,yes
TEST_00965,yes
TEST_00966,yes
TEST_00967,2
TEST_00968,yes
TEST_00969,2
TEST_00970,2
TEST_00971,on
TEST_00972,yes
TEST_00973,white
TEST_00974,yes
TEST_00975,yes
TEST_00976,yes
TEST_00977,white
TEST_00978,yes
TEST_00979,on
TEST_00980,yes
TEST_00981,white
TEST_00982,white
TEST_00983,white
TEST_00984,white
TEST_00985,2
TEST_00986,yes
TEST_00987,whitechen
TEST_00988,yes
TEST_00989,man
TEST_00990,to
TEST_00991,yes
TEST_00992,on
TEST_00993,2
TEST_00994,yes
TEST_00995,yes
TEST_00996,whitenis
TEST_00997,yes
TEST_00998,yes
TEST_00999,white
TEST_01000,on
TEST_01001,yes
TEST_01002,white
TEST_01003,yes
TEST_01004,on
TEST_01005,2
TEST_01006,white
TEST_01007,white
TEST_01008,yes
TEST_01009,2
TEST_01010,2
TEST_01011,yes
TEST_01012,white
TEST_01013,yes
TEST_01014,to
TEST_01015,yes
TEST_01016,2
TEST_01017,white
TEST_01018,whitenis
TEST_01019,white:45
TEST_01020,yes
TEST_01021,yes
TEST_01022,on
TEST_01023,white
TEST_01024,white
TEST_01025,white
TEST_01026,white
TEST_01027,yes
TEST_01028,yes
TEST_01029,yes
TEST_01030,white
TEST_01031,man
TEST_01032,on
TEST_01033,yes
TEST_01034,whiteike
TEST_01035,yes
TEST_01036,yes
TEST_01037,yes
TEST_01038,yes
TEST_01039,white
TEST_01040,whitenis
TEST_01041,white
TEST_01042,yes
TEST_01043,white
TEST_01044,white
TEST_01045,yes
TEST_01046,yes
TEST_01047,white
TEST_01048,2
TEST_01049,yes
TEST_01050,yes
TEST_01051,2
TEST_01052,white
TEST_01053,on
TEST_01054,yes
TEST_01055,overcast
TEST_01056,white
TEST_01057,white
TEST_01058,to
TEST_01059,yes
TEST_01060,white
TEST_01061,man
TEST_01062,yes
TEST_01063,white
TEST_01064,white
TEST_01065,2
TEST_01066,white
TEST_01067,yes
TEST_01068,yes
TEST_01069,white
TEST_01070,yes
TEST_01071,2
TEST_01072,2
TEST_01073,white
TEST_01074,to
TEST_01075,2
TEST_01076,whiteese
TEST_01077,yes
TEST_01078,white
TEST_01079,2
TEST_01080,yes
TEST_01081,yes
TEST_01082,white
TEST_01083,white
TEST_01084,white
TEST_01085,white
TEST_01086,yes
TEST_01087,2
TEST_01088,yes
TEST_01089,white
TEST_01090,yes
TEST_01091,yes
TEST_01092,white
TEST_01093,yes
TEST_01094,2
TEST_01095,white
TEST_01096,white
TEST_01097,white:45
TEST_01098,yes
TEST_01099,whiteizza
TEST_01100,yes
TEST_01101,white
TEST_01102,white
TEST_01103,white
TEST_01104,white
TEST_01105,whiteate
TEST_01106,yes
TEST_01107,yes
TEST_01108,white
TEST_01109,yes
TEST_01110,yes
TEST_01111,yes
TEST_01112,yes
TEST_01113,white
TEST_01114,yes
TEST_01115,yes
TEST_01116,whitechen
TEST_01117,white
TEST_01118,white
TEST_01119,on
TEST_01120,white
TEST_01121,white
TEST_01122,white
TEST_01123,white
TEST_01124,white
TEST_01125,whiteile
TEST_01126,2
TEST_01127,white
TEST_01128,yes
TEST_01129,yes
TEST_01130,white
TEST_01131,white
TEST_01132,yes
TEST_01133,yes
TEST_01134,yes
TEST_01135,left
TEST_01136,yes
TEST_01137,white
TEST_01138,yes
TEST_01139,white
TEST_01140,yes
TEST_01141,whitechen
TEST_01142,white
TEST_01143,yes
TEST_01144,whiteike
TEST_01145,yes
TEST_01146,white
TEST_01147,yes
TEST_01148,yes
TEST_01149,yes
TEST_01150,white
TEST_01151,white
TEST_01152,yes
TEST_01153,white
TEST_01154,2
TEST_01155,yes
TEST_01156,white
TEST_01157,yes
TEST_01158,white
TEST_01159,yes
TEST_01160,white
TEST_01161,yes
TEST_01162,yes
TEST_01163,yes
TEST_01164,yes
TEST_01165,yes
TEST_01166,white
TEST_01167,white
TEST_01168,2
TEST_01169,on
TEST_01170,yes
TEST_01171,white
TEST_01172,2
TEST_01173,white
TEST_01174,2
TEST_01175,white
TEST_01176,white
TEST_01177,white
TEST_01178,yes
TEST_01179,white
TEST_01180,yes
TEST_01181,2
TEST_01182,yes
TEST_01183,white
TEST_01184,yes
TEST_01185,on
TEST_01186,on
TEST_01187,yes
TEST_01188,2
TEST_01189,yes
TEST_01190,white
TEST_01191,white
TEST_01192,no
TEST_01193,yes
TEST_01194,whiteike
TEST_01195,white
TEST_01196,yes
TEST_01197,white
TEST_01198,white
TEST_01199,to
TEST_01200,white
TEST_01201,yes
TEST_01202,yes
TEST_01203,white
TEST_01204,white
TEST_01205,yes
TEST_01206,white
TEST_01207,white
TEST_01208,white
TEST_01209,white white
TEST_01210,yes
TEST_01211,yes
TEST_01212,yes
TEST_01213,yes
TEST_01214,white
TEST_01215,yes
TEST_01216,yes
TEST_01217,white
TEST_01218,2
TEST_01219,white
TEST_01220,on
TEST_01221,white
TEST_01222,man
TEST_01223,white
TEST_01224,white
TEST_01225,2
TEST_01226,on
TEST_01227,yes
TEST_01228,2
TEST_01229,yes
TEST_01230,yes
TEST_01231,yes
TEST_01232,white
TEST_01233,yes
TEST_01234,on
TEST_01235,white
TEST_01236,yes
TEST_01237,yes
TEST_01238,2
TEST_01239,white
TEST_01240,white
TEST_01241,white
TEST_01242,yes
TEST_01243,on
TEST_01244,white
TEST_01245,white
TEST_01246,white
TEST_01247,left
TEST_01248,yes
TEST_01249,yes
TEST_01250,white
TEST_01251,yes
TEST_01252,white
TEST_01253,2
TEST_01254,white
TEST_01255,whitenis
TEST_01256,2
TEST_01257,2
TEST_01258,2
TEST_01259,white
TEST_01260,2
TEST_01261,yes
TEST_01262,2
TEST_01263,white
TEST_01264,whiteaid
TEST_01265,white
TEST_01266,yes
TEST_01267,white
TEST_01268,yes
TEST_01269,yes
TEST_01270,white
TEST_01271,whiteanas
TEST_01272,white
TEST_01273,yes
TEST_01274,white
TEST_01275,2
TEST_01276,2
TEST_01277,white
TEST_01278,on
TEST_01279,yes
TEST_01280,yes
TEST_01281,white
TEST_01282,white
TEST_01283,yes
TEST_01284,yes
TEST_01285,yes
TEST_01286,white
TEST_01287,white
TEST_01288,white
TEST_01289,yes
TEST_01290,white
TEST_01291,white
TEST_01292,white
TEST_01293,yes
TEST_01294,white
TEST_01295,white
TEST_01296,yes
TEST_01297,on
TEST_01298,left
TEST_01299,yes
TEST_01300,yes
TEST_01301,white
TEST_01302,white
TEST_01303,whiteike
TEST_01304,no
TEST_01305,yes
TEST_01306,white
TEST_01307,yes
TEST_01308,2
TEST_01309,yes
TEST_01310,whiteike
TEST_01311,white
TEST_01312,yes
TEST_01313,white
TEST_01314,2
TEST_01315,leftnis
TEST_01316,yes
TEST_01317,white
TEST_01318,white
TEST_01319,yes
TEST_01320,yes
TEST_01321,white
TEST_01322,white
TEST_01323,2
TEST_01324,yes
TEST_01325,yes
TEST_01326,2
TEST_01327,yes
TEST_01328,yes
TEST_01329,yes
TEST_01330,white
TEST_01331,white
TEST_01332,on
TEST_01333,man
TEST_01334,yes
TEST_01335,white
TEST_01336,white
TEST_01337,white
TEST_01338,white
TEST_01339,white
TEST_01340,yes
TEST_01341,yes
TEST_01342,white
TEST_01343,yes
TEST_01344,white
TEST_01345,yes
TEST_01346,yes
TEST_01347,yes
TEST_01348,white
TEST_01349,yes
TEST_01350,white
TEST_01351,2
TEST_01352,white
TEST_01353,yes
TEST_01354,yes
TEST_01355,yes
TEST_01356,yes
TEST_01357,whiteaid
TEST_01358,man
TEST_01359,white
TEST_01360,yes
TEST_01361,white
TEST_01362,white
TEST_01363,on
TEST_01364,yes
TEST_01365,2
TEST_01366,white
TEST_01367,white
TEST_01368,2
TEST_01369,yes
TEST_01370,2
TEST_01371,yes
TEST_01372,yes
TEST_01373,white
TEST_01374,white
TEST_01375,yes
TEST_01376,white
TEST_01377,yes
TEST_01378,white
TEST_01379,white
TEST_01380,2
TEST_01381,white
TEST_01382,white
TEST_01383,white
TEST_01384,white
TEST_01385,2
TEST_01386,white
TEST_01387,yes
TEST_01388,white
TEST_01389,2
TEST_01390,2
TEST_01391,yes
TEST_01392,white
TEST_01393,white y
TEST_01394,yes
TEST_01395,white
TEST_01396,no
TEST_01397,yes
TEST_01398,white
TEST_01399,white
TEST_01400,2
TEST_01401,yes
TEST_01402,2
TEST_01403,yes
TEST_01404,2
TEST_01405,white
TEST_01406,white
TEST_01407,white
TEST_01408,white
TEST_01409,2
TEST_01410,left
TEST_01411,white
TEST_01412,2
TEST_01413,yes
TEST_01414,yes
TEST_01415,yes
TEST_01416,white
TEST_01417,white
TEST_01418,white
TEST_01419,yes
TEST_01420,yes
TEST_01421,white
TEST_01422,2
TEST_01423,white
TEST_01424,whiteike
TEST_01425,yes
TEST_01426,whitewarts
TEST_01427,white
TEST_01428,yes
TEST_01429,white
TEST_01430,yes
TEST_01431,yes
TEST_01432,on
TEST_01433,white
TEST_01434,left
TEST_01435,yes
TEST_01436,yes
TEST_01437,white
TEST_01438,yes
TEST_01439,white
TEST_01440,white
TEST_01441,2
TEST_01442,white
TEST_01443,to
TEST_01444,yes
TEST_01445,yes
TEST_01446,yes
TEST_01447,yes
TEST_01448,white
TEST_01449,white
TEST_01450,yes
TEST_01451,white and and
TEST_01452,white
TEST_01453,yes
TEST_01454,white
TEST_01455,yes
TEST_01456,left
TEST_01457,yes
TEST_01458,yes
TEST_01459,white
TEST_01460,overcast
TEST_01461,yes
TEST_01462,yes
